Day,Store_1,Store_2,Store_3
280,46,38,54
281,51,38,76
282,57,18,62
283,66,40,85
284,38,38,52
285,71,46,81
286,30,55,62
287,48,49,52
288,56,38,54
289,53,31,56
290,44,61,65
291,48,40,66
292,45,40,53
293,44,40,60
294,58,42,86
295,54,39,81
296,43,35,65
297,59,36,60
298,53,40,61
299,58,36,67
300,56,34,48
301,42,41,57
302,44,38,40
303,57,52,65
304,56,19,68
305,50,49,54
306,51,50,79
307,63,23,45
308,44,37,42
309,55,37,63
310,48,29,73
311,48,34,80
312,61,31,54
313,58,54,73
314,58,47,60
315,63,50,58
316,50,46,71
317,57,31,68
318,47,36,41
319,53,44,78
320,49,30,77
321,51,46,52
322,56,38,65
323,42,37,66
324,71,46,63
325,40,44,53
326,38,37,52
327,62,49,60
328,58,31,74
329,56,45,67
330,56,45,56
331,50,38,69
332,41,43,26
333,51,30,74
334,43,47,39
335,60,39,56
336,49,36,47
337,42,48,44
338,47,34,74
339,54,29,54
340,44,28,64
341,42,45,59
342,52,30,66
343,52,54,61
344,45,23,45
345,45,54,72
346,52,42,54
347,36,39,41
348,36,36,55
349,43,43,78
350,48,40,70
351,53,49,56
352,65,41,56
353,59,41,56
354,48,37,85
355,50,40,65
356,40,42,65
357,50,26,72
358,47,29,63
359,53,46,57
360,42,41,58
361,55,39,59
362,65,40,60
363,49,43,69
364,54,36,61
365,57,34,69
